id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,price_per_m2,distance_km,distance_bucket
2014-536567,2014-02-27,1,Vente,100000.0,10.0,,RUE DE CHALONS,0021,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BL0034,,,,,,,,,,,,,0,1.0,Maison,183.0,3.0,S,sols,,,130.0,4.003833,48.905599,546.448087431694,33.31065980905216,30-50 km
2014-536580,2014-03-25,1,Vente,155000.0,47.0,,RUE DE CHALONS SUR MARNE,0021,51240.0,51227,Écury-sur-Coole,51,,,512270000E0785,,,,,,,,,,,,,0,1.0,Maison,130.0,6.0,S,sols,,,632.0,4.34056,48.898578,1192.3076923076924,49.65381007453533,30-50 km
2014-536580,2014-03-25,1,Vente,155000.0,47.0,,RUE DE CHALONS SUR MARNE,0021,51240.0,51227,Écury-sur-Coole,51,,,512270000E0785,,,,,,,,,,,,,0,1.0,Maison,130.0,6.0,J,jardins,,,701.0,4.34056,48.898578,1192.3076923076924,49.65381007453533,30-50 km
2014-536629,2014-04-16,1,Vente,18500.0,5028.0,,LES PRES DE LA CARTONNERIE,B063,51240.0,51087,Breuvery-sur-Coole,51,,,510870000A0476,,,,,,,,,,,,,0,1.0,Maison,32.0,1.0,S,sols,,,690.0,4.316051,48.858034,578.125,45.68298671713859,30-50 km
2014-536629,2014-04-16,1,Vente,18500.0,5028.0,,LES PRES DE LA CARTONNERIE,B063,51240.0,51087,Breuvery-sur-Coole,51,,,510870000A0476,,,,,,,,,,,,,0,1.0,Maison,32.0,1.0,J,jardins,,,638.0,4.316051,48.858034,578.125,45.68298671713859,30-50 km
2014-536654,2014-03-12,1,Vente,187000.0,5136.0,,RUE DE LA GARE,0030,51240.0,51227,Écury-sur-Coole,51,,,512270000E0711,,,,,,,,,,,,,0,1.0,Maison,117.0,4.0,S,sols,,,900.0,4.3333,48.895437,1598.2905982905984,49.01734243106747,30-50 km
2014-536669,2014-04-25,1,Vente,101000.0,10.0,,GR GRANDE RUE,0046,51130.0,51327,Loisy-en-Brie,51,,,513270000D0051,,,,,,,,,,,,,0,1.0,Maison,135.0,4.0,S,sols,,,240.0,3.90106,48.882707,748.1481481481482,27.993585119837718,20-30 km
2014-536682,2014-05-07,1,Vente,240000.0,14.0,B,RUE DU GENERAL LECLERC,0109,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BM0158,,,,,,,,,,,,,0,1.0,Maison,149.0,6.0,J,jardins,POTAG,Jardin potager,954.0,4.007241,48.905329,1610.7382550335572,33.40486947962517,30-50 km
2014-536682,2014-05-07,1,Vente,240000.0,14.0,B,RUE DU GENERAL LECLERC,0109,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BM0158,,,,,,,,,,,,,0,1.0,Maison,149.0,6.0,S,sols,,,800.0,4.007241,48.905329,1610.7382550335572,33.40486947962517,30-50 km
2014-536732,2014-05-13,1,Vente,95000.0,16.0,,ALL DE LA HERONNIERE,0040,51150.0,51303,Jâlons,51,,,51303000ZK0112,,,,,,,,,,,,,0,1.0,Maison,88.0,5.0,S,sols,,,517.0,4.181421,49.008271,1079.5454545454545,49.924641928090544,30-50 km
2014-536750,2014-05-09,1,Vente,75000.0,4.0,,RUE DE LA BERLE,0010,51130.0,51627,Villeneuve-Renneville-Chevigny,51,,,516270000E0045,,,,,,,,,,,,,0,1.0,Maison,66.0,3.0,S,sols,,,350.0,4.077456,48.9248,1136.3636363636363,37.954611721106474,30-50 km
2014-536762,2014-05-07,1,Vente,126000.0,45.0,,RUE DE JALONS,0019,51150.0,51117,Champigneul-Champagne,51,,,511170000B1178,,,,,,,,,,,,,0,1.0,Maison,92.0,3.0,S,sols,,,342.0,4.167715,48.975422,1369.5652173913043,46.388421091292344,30-50 km
2014-536771,2014-05-22,1,Vente,157000.0,14.0,,RUE DU GUE,0019,51130.0,51107,Chaintrix-Bierges,51,,,51107000ZK0099,,,,,,,,,,,,,0,1.0,Maison,75.0,4.0,S,sols,,,1245.0,4.102525,48.899624,2093.3333333333335,36.80836659343944,30-50 km
2014-536845,2014-06-16,1,Vente,100000.0,17.0,,GR GRANDE RUE,0041,51130.0,51268,Germinon,51,,,512680000E0293,,,,,,,,,,,,,0,1.0,Maison,68.0,2.0,S,sols,,,1270.0,4.154371,48.876556,1470.5882352941176,37.500057532274994,30-50 km
2014-536861,2014-05-31,1,Vente,185000.0,5019.0,,COLIGNY,B089,51130.0,51158,Val-des-Marais,51,,,511580000C0501,,,,,,,,,,,,,0,1.0,Maison,146.0,3.0,S,sols,,,820.0,3.960771,48.842544,1267.123287671233,25.648882009410578,20-30 km
2014-536869,2014-06-06,1,Vente,140000.0,57.0,,RUE DU CENTRE,0012,51150.0,51018,Athis,51,,,51018000AB0178,,,,,,,,,,,,,0,1.0,Maison,90.0,4.0,S,sols,,,734.0,4.130285,49.01656,1555.5555555555557,48.63058466536796,30-50 km
2014-536870,2014-06-18,1,Vente,150000.0,5.0,,RUE NEUVE,0176,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BM0063,,,,,,,,,,,,,0,1.0,Maison,90.0,5.0,S,sols,,,514.0,4.004843,48.902381,1666.6666666666667,33.03290638398199,30-50 km
2014-536875,2014-06-06,2,Vente,95000.0,3.0,,RUE MONTANTE,0035,51150.0,51117,Champigneul-Champagne,51,,,511170000B1828,,,,,,,,,,,,,0,1.0,Maison,87.0,5.0,S,sols,,,1016.0,4.164831,48.968825,1091.9540229885058,45.67718093156893,30-50 km
2014-536887,2014-05-27,1,Vente,360000.0,34.0,,RUE DE VERTUS,0044,51130.0,51655,Vouzy,51,,,51655000ZD0073,,,,,,,,,,,,,0,1.0,Maison,211.0,5.0,J,jardins,,,1234.0,4.103665,48.927964,1706.1611374407582,39.3523894049421,30-50 km
2014-536887,2014-05-27,1,Vente,360000.0,34.0,,RUE DE VERTUS,0044,51130.0,51655,Vouzy,51,,,51655000ZD0073,,,,,,,,,,,,,0,1.0,Maison,211.0,5.0,S,sols,,,1278.0,4.103665,48.927964,1706.1611374407582,39.3523894049421,30-50 km
2014-536888,2014-06-13,2,Vente,165000.0,33.0,,AV DE BAMMENTAL,0010,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000AT0147,,,,,,,,,,,,,0,1.0,Maison,90.0,4.0,,,,,,4.014356,48.906921,1833.3333333333333,33.814894891724066,30-50 km
2014-536904,2014-06-06,2,Vente,215000.0,1.0,,RUE DU MOULIN,0040,51240.0,51409,Nuisement-sur-Coole,51,,,514090000E0843,,,,,,,,,,,,,0,1.0,Maison,139.0,5.0,,,,,,4.313551,48.878457,1546.7625899280577,46.75569424338419,30-50 km
2014-536919,2014-06-26,2,Vente,62000.0,36.0,,RUE JEAN BRION,0028,51230.0,51226,Écury-le-Repos,51,,,512260000B0592,,,,,,,,,,,,,0,1.0,Maison,85.0,2.0,S,sols,,,760.0,4.034489,48.811185,729.4117647058823,26.132296595197772,20-30 km
2014-536950,2014-07-02,1,Vente,49000.0,4.0,,PL DE LA GRANDE FONTAINE,0115,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BL0001,,,,,,,,,,,,,0,1.0,Maison,84.0,4.0,S,sols,,,83.0,4.001826,48.905155,583.3333333333334,33.19697649733659,30-50 km
2014-536964,2014-06-30,1,Vente,70000.0,44.0,,RUE NATIONALE,0090,51130.0,51049,Bergères-lès-Vertus,51,,,51049000ZP0075,,,,,,,,,,,,,0,1.0,Maison,102.0,5.0,S,sols,,,545.0,4.003529,48.876605,686.2745098039215,30.50822985051664,30-50 km
2014-536964,2014-06-30,1,Vente,70000.0,44.0,,RUE NATIONALE,0090,51130.0,51049,Bergères-lès-Vertus,51,,,51049000ZP0075,,,,,,,,,,,,,0,1.0,Maison,102.0,5.0,T,terres,,,1206.0,4.003529,48.876605,686.2745098039215,30.50822985051664,30-50 km
2014-536965,2014-07-04,1,Vente,258500.0,5.0,,ALL DE LA GRAPILLE,0117,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BY0064,,,,,,,,,,,,,0,1.0,Maison,144.0,5.0,S,sols,,,1642.0,4.015117,48.897897,1795.138888888889,32.97508779580879,30-50 km
2014-536977,2014-07-08,1,Vente,92000.0,2.0,,RUE PRINCIPALE,0033,51130.0,51158,Val-des-Marais,51,,,511580240B0562,,,,,,,,,,,,,0,1.0,Maison,113.0,4.0,S,sols,,,193.0,3.935832,48.828187,814.1592920353983,23.365477493354618,20-30 km
2014-536979,2014-07-04,1,Vente,106000.0,11.0,,AV DE BAMMENTAL,0010,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BH0177,,,,,,,,,,,,,0,1.0,Maison,90.0,4.0,S,sols,,,517.0,4.012223,48.906645,1177.7777777777778,33.71103463126064,30-50 km
2014-536981,2014-07-11,1,Vente,75000.0,2.0,,RUE DU CIMETIERE,0012,51130.0,51612,Blancs-Coteaux,51,51651.0,Voipreux,51612651AC0042,51651000AC0042,,,,,,,,,,,,0,1.0,Maison,100.0,4.0,S,sols,,,773.0,4.03943,48.909621,750.0,35.01592351191033,30-50 km
2014-537006,2014-07-11,1,Vente,152000.0,5.0,,RUE DU GENERAL KOENIG,0105,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BI0190,,,,,,,,,,,,,0,1.0,Maison,117.0,6.0,S,sols,,,179.0,4.002833,48.906058,1299.145299145299,33.320444112415856,30-50 km
2014-537056,2014-07-23,1,Vente,250000.0,10.0,,RUE DU CENTRE,0012,51150.0,51018,Athis,51,,,51018000AA0074,,,,,,,,,,,,,0,1.0,Maison,185.0,6.0,S,sols,,,521.0,4.126248,49.015915,1351.3513513513512,48.41626554432817,30-50 km
2014-537064,2014-07-24,1,Vente,195000.0,10.0,,BD PAUL GOERG,0186,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BL0068,,,,,,,,,,,,,0,1.0,Maison,153.0,7.0,S,sols,,,499.0,4.004837,48.904964,1274.5098039215686,33.28410331734952,30-50 km
2014-537064,2014-07-24,1,Vente,195000.0,10.0,,BD PAUL GOERG,0186,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BL0068,,,,,,,,,,,,,0,1.0,Maison,153.0,7.0,AG,terrains d'agrément,,,616.0,4.004837,48.904964,1274.5098039215686,33.28410331734952,30-50 km
2014-537076,2014-08-01,1,Vente,135000.0,53.0,,RUE NATIONALE,0090,51130.0,51049,Bergères-lès-Vertus,51,,,510490000D1269,,,,,,,,,,,,,0,1.0,Maison,175.0,8.0,S,sols,,,460.0,3.999485,48.876203,771.4285714285714,30.315979205431976,30-50 km
2014-537133,2014-08-01,1,Vente,160000.0,26.0,,RUE DE LA LOUVETIERE,0028,51150.0,51018,Athis,51,,,51018000AB0302,,,,,,,,,,,,,0,1.0,Maison,82.0,4.0,S,sols,,,584.0,4.134206,49.0165,1951.219512195122,48.77463996533357,30-50 km
2014-537159,2014-08-05,1,Vente,160000.0,35.0,,GR GRANDE RUE,0041,51130.0,51268,Germinon,51,,,512680000E0401,,,,,,,,,,,,,0,1.0,Maison,119.0,5.0,S,sols,,,545.0,4.157917,48.876225,1344.5378151260504,37.66282644212985,30-50 km
2014-537181,2014-08-06,1,Vente,91000.0,31.0,,AV DE LA GARE,0016,51130.0,51158,Val-des-Marais,51,,,511580000C1437,,,,,,,,,,,,,0,1.0,Maison,79.0,4.0,S,sols,,,755.0,3.967319,48.847789,1151.8987341772151,26.394440350282267,20-30 km
2014-537197,2014-08-14,1,Vente,84200.0,10.0,,RUE DE GIVRY,0041,51130.0,51327,Loisy-en-Brie,51,,,513270000D0474,,,,,,,,,,,,,0,1.0,Maison,62.0,1.0,S,sols,,,389.0,3.902336,48.883859,1358.0645161290322,28.143903504298084,20-30 km
2014-537206,2014-08-29,1,Vente,165000.0,1.0,,RUE DE LA MAILLATERIE,0052,51130.0,51158,Val-des-Marais,51,,,511580210A0922,,,,,,,,,,,,,0,1.0,Maison,102.0,4.0,S,sols,,,1151.0,3.958651,48.820869,1617.6470588235295,23.50621366181928,20-30 km
